Imagen,Hilos,Kernel,Tiempo
720p.png,1,3,0.079
720p.png,1,5,0.072
720p.png,1,7,0.088
720p.png,1,9,0.086
720p.png,1,11,0.097
720p.png,1,13,0.069
720p.png,1,15,0.074
720p.png,2,3,0.065
720p.png,2,5,0.061
720p.png,2,7,0.080
720p.png,2,9,0.077
720p.png,2,11,0.107
720p.png,2,13,0.065
720p.png,2,15,0.069
720p.png,4,3,0.074
720p.png,4,5,0.068
720p.png,4,7,0.084
720p.png,4,9,0.072
720p.png,4,11,0.083
720p.png,4,13,0.059
720p.png,4,15,0.059
720p.png,8,3,0.073
720p.png,8,5,0.058
720p.png,8,7,0.083
720p.png,8,9,0.076
720p.png,8,11,0.085
720p.png,8,13,0.056
720p.png,8,15,0.061
720p.png,16,3,0.060
720p.png,16,5,0.057
720p.png,16,7,0.075
720p.png,16,9,0.077
720p.png,16,11,0.082
720p.png,16,13,0.054
720p.png,16,15,0.058
1080p.png,1,3,0.139
1080p.png,1,5,0.139
1080p.png,1,7,0.139
1080p.png,1,9,0.140
1080p.png,1,11,0.139
1080p.png,1,13,0.139
1080p.png,1,15,0.139
1080p.png,2,3,0.114
1080p.png,2,5,0.114
1080p.png,2,7,0.116
1080p.png,2,9,0.115
1080p.png,2,11,0.118
1080p.png,2,13,0.114
1080p.png,2,15,0.120
1080p.png,4,3,0.103
1080p.png,4,5,0.102
1080p.png,4,7,0.109
1080p.png,4,9,0.113
1080p.png,4,11,0.103
1080p.png,4,13,0.111
1080p.png,4,15,0.106
1080p.png,8,3,0.104
1080p.png,8,5,0.103
1080p.png,8,7,0.102
1080p.png,8,9,0.103
1080p.png,8,11,0.102
1080p.png,8,13,0.107
1080p.png,8,15,0.102
1080p.png,16,3,0.102
1080p.png,16,5,0.107
1080p.png,16,7,0.106
1080p.png,16,9,0.101
1080p.png,16,11,0.102
1080p.png,16,13,0.102
1080p.png,16,15,0.100
4k.png,1,3,1.468
4k.png,1,5,1.436
4k.png,1,7,1.454
4k.png,1,9,1.461
4k.png,1,11,1.459
4k.png,1,13,1.415
4k.png,1,15,1.461
4k.png,2,3,1.166
4k.png,2,5,1.181
4k.png,2,7,1.171
4k.png,2,9,1.191
4k.png,2,11,1.174
4k.png,2,13,1.165
4k.png,2,15,1.166
4k.png,4,3,1.055
4k.png,4,5,1.081
4k.png,4,7,1.034
4k.png,4,9,1.064
4k.png,4,11,1.039
4k.png,4,13,1.048
4k.png,4,15,1.053
4k.png,8,3,1.076
4k.png,8,5,1.061
4k.png,8,7,1.057
4k.png,8,9,1.071
4k.png,8,11,1.059
4k.png,8,13,1.074
4k.png,8,15,1.066
4k.png,16,3,1.100
4k.png,16,5,1.087
4k.png,16,7,1.090
4k.png,16,9,1.094
4k.png,16,11,1.097
4k.png,16,13,1.092
4k.png,16,15,1.068
